Address	Status-Code	Status-Text	Type	Size	Title	Date	Level	Links Out	Links In	Server	Error	Duration	Charset	Description
https://download.gimp.org/gtk/2.13/	200	ok	text/html	7307	Index of /gtk/2.13/		2	40	2	nginx/1.20.1		00:00.100	utf-8	
https://download.gimp.org/gtk/2.14/	200	ok	text/html	6557	Index of /gtk/2.14/		2	36	2	nginx/1.20.1		00:00.153	utf-8	
https://download.gimp.org/gtk/2.15/	200	ok	text/html	5807	Index of /gtk/2.15/		2	32	2	nginx/1.20.1		00:00.140	utf-8	
https://download.gimp.org/gtk/2.16/	200	ok	text/html	8891	Index of /gtk/2.16/		2	48	2	nginx/1.20.1		00:00.129	utf-8	
https://download.gimp.org/gtk/2.17/	200	ok	text/html	15014	Index of /gtk/2.17/		2	80	2	nginx/1.20.1		00:00.107	utf-8	
https://download.gimp.org/gtk/2.18/	200	ok	text/html	11529	Index of /gtk/2.18/		2	62	2	nginx/1.20.1		00:00.166	utf-8	
https://download.gimp.org/gtk/2.19/	200	ok	text/html	10048	Index of /gtk/2.19/		2	54	2	nginx/1.20.1		00:00.115	utf-8	
https://download.gimp.org/gtk/2.20/	200	ok	text/html	2417	Index of /gtk/2.20/		2	14	2	nginx/1.20.1		00:00.098	utf-8	
https://download.gimp.org/gtk/2.21/	200	ok	text/html	5192	Index of /gtk/2.21/		2	29	2	nginx/1.20.1		00:00.120	utf-8	
https://download.gimp.org/gtk/2.22/	200	ok	text/html	1862	Index of /gtk/2.22/		2	11	2	nginx/1.20.1		00:00.101	utf-8	
https://download.gimp.org/gtk/2.23/	200	ok	text/html	3539	Index of /gtk/2.23/		2	20	2	nginx/1.20.1		00:00.115	utf-8	
https://download.gimp.org/gtk/2.24/	200	ok	text/html	4085	Index of /gtk/2.24/		2	23	2	nginx/1.20.1		00:00.126	utf-8	
https://download.gimp.org/gtk/2.90/	200	ok	text/html	5747	Index of /gtk/2.90/		2	32	2	nginx/1.20.1		00:00.114	utf-8	
